excel_row,code,severity,detail
2384,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SUGIYANTO
2399,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SULAIMAN
2403,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SULTHAN ASA NUSANTARA
2404,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SULTHAN ASA NUSANTARA
2415,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUMBER SUKSES BERSAUDARA
2416,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUMBER SUKSES BERSAUDARA
2421,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUNADI
2422,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUNADI
2424,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUNARTO
2425,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUNARTO
2429,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SUPARDI
2430,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SUPARDI
2431,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SUPARDI
2433,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUPARMAN
2434,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUPARMAN
2449,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUROSO
2450,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUROSO
2462,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 4 kali: SUTRISNO
2463,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 4 kali: SUTRISNO
2464,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 4 kali: SUTRISNO
2465,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 4 kali: SUTRISNO
2467,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUWANDI
2468,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUWANDI
2469,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUWARDI
2470,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SUWARDI
2474,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SUYATNO
2475,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SUYATNO
2482,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SYAHRIAL
2483,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SYAHRIAL
2500,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: TANJUNGSARI PRIMA SENTOSA
2501,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: TANJUNGSARI PRIMA SENTOSA
2504,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: TATHONG PERKASA
2505,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: TATHONG PERKASA
2519,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MUHAMMAD RIFAI
2520,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: TETRASA GEOSININDO
2521,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: TETRASA GEOSININDO
2522,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: THE MASTER STEEL MANUFACTORY
2523,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: THE MASTER STEEL MANUFACTORY
2527,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: THYSSENKRUPP INDUSTRIAL SOLUTI
2528,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: THYSSENKRUPP INDUSTRIAL SOLUTI
2550,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: TOKO BESI 88
2551,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: TOKO BESI 88
2581,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: TUGU BETON SEMESTA ABADI
2582,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: TUGU BETON SEMESTA ABADI
2583,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: TUKIMAN
2584,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: TUKIMAN
2599,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: UJANG SURYANA
2600,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: UJANG SURYANA
2612,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: UNTUNG PURNOMO
2613,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: UNTUNG PURNOMO
2615,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: USEP DARMAJA
2616,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: USEP DARMAJA
